date,cases,K,r,C0,tau,end_date,dCdt,tpeak,peak,R2
17-Mar-2020,10,113168,0.19094901893593,1,20,02-Jul-2020,5402,58,05-May-2020,0.865354809101013
18-Mar-2020,14,25541,0.231425020895788,1,17,31-May-2020,1477,42,19-Apr-2020,0.922643683967968
19-Mar-2020,18,70130,0.248921318322498,1,16,04-Jun-2020,4364,44,21-Apr-2020,0.959283902357969
20-Mar-2020,20,36619,0.230424392610877,1,17,04-Jun-2020,2109,44,21-Apr-2020,0.970053953405469
21-Mar-2020,24,102,0.251087486284419,1,15,11-Apr-2020,6,17,25-Mar-2020,0.978924765915049
22-Mar-2020,27,55,0.282711362270849,1,14,03-Apr-2020,3,13,21-Mar-2020,0.984050183341126
23-Mar-2020,33,68,0.264953197636114,1,15,07-Apr-2020,4,15,23-Mar-2020,0.988895879034119
24-Mar-2020,39,87,0.248418906144996,1,16,09-Apr-2020,5,16,24-Mar-2020,0.992077464262214
25-Mar-2020,39,59,0.283698308420182,0,14,05-Apr-2020,4,14,22-Mar-2020,0.991270313726952
26-Mar-2020,44,59,0.283978738035531,0,14,05-Apr-2020,4,14,22-Mar-2020,0.99322473519441
27-Mar-2020,48,61,0.278661394226668,1,14,05-Apr-2020,4,14,22-Mar-2020,0.99455314900104
28-Mar-2020,48,58,0.290144024489638,0,13,05-Apr-2020,4,14,22-Mar-2020,0.994930123562533
29-Mar-2020,48,55,0.303690846350479,0,13,03-Apr-2020,4,13,21-Mar-2020,0.994688336215695
30-Mar-2020,49,53,0.311828459758764,0,12,03-Apr-2020,4,13,21-Mar-2020,0.994874082031176
31-Mar-2020,51,53,0.312734293716333,0,12,03-Apr-2020,4,13,21-Mar-2020,0.995401236799912
